OBJECTID *;ESTADO_SUPERFICIAL;FECHA_ESTADO;CalCodigo *
437;8;31/12/2024;177457
438;8;31/12/2024;91031052
439;BUENO;31/12/2024;382452
440;SATISFACTORIO;31/12/2024;355963
441;BUENO;31/12/2024;91023085
442;SATISFACTORIO;31/12/2024;174724
443;SATISFACTORIO;31/12/2024;293027
444;GRAVE;31/12/2024;2502218
445;POBRE;31/12/2024;91014129
446;BUENO;31/12/2024;207369
447;BUENO;31/12/2024;321345
448;BUENO;31/12/2024;458440
449;SATISFACTORIO;31/12/2024;380609
450;SATISFACTORIO;31/12/2024;500304
451;SATISFACTORIO;31/12/2024;303236
452;BUENO;31/12/2024;172539
453;GRAVE;31/12/2024;359830
454;GRAVE;31/12/2024;174651
455;JUSTO;31/12/2024;91019551
456;SATISFACTORIO;31/12/2024;173362
457;SATISFACTORIO;31/12/2024;386940
458;BUENO;31/12/2024;807150
459;BUENO;31/12/2024;458176
460;GRAVE;31/12/2024;304781
461;BUENO;31/12/2024;420064
462;GRAVE;31/12/2024;451064
463;SATISFACTORIO;31/12/2024;366774
464;SATISFACTORIO;31/12/2024;145958
465;BUENO;31/12/2024;153453
466;SATISFACTORIO;31/12/2024;157717
467;BUENO;31/12/2024;149200
468;JUSTO;31/12/2024;152550
469;GRAVE;31/12/2024;357174
470;SATISFACTORIO;31/12/2024;175059
471;BUENO;31/12/2024;212083
472;SATISFACTORIO;31/12/2024;358251
473;BUENO;31/12/2024;175242
474;BUENO;31/12/2024;454064
475;BUENO;31/12/2024;422236
476;BUENO;31/12/2024;147360
477;BUENO;31/12/2024;206244
478;SATISFACTORIO;31/12/2024;148637
479;BUENO;31/12/2024;175488
480;BUENO;31/12/2024;155603
481;BUENO;31/12/2024;455030
482;SATISFACTORIO;31/12/2024;173363
483;SATISFACTORIO;31/12/2024;159664
484;SATISFACTORIO;31/12/2024;420960
485;8;31/12/2024;91010366
486;SATISFACTORIO;31/12/2024;187770
487;SATISFACTORIO;31/12/2024;508962
488;SATISFACTORIO;31/12/2024;457969
489;SATISFACTORIO;31/12/2024;173666
490;BUENO;31/12/2024;176501
491;SATISFACTORIO;31/12/2024;146374
492;GRAVE;31/12/2024;460740
493;GRAVE;31/12/2024;156328
494;SATISFACTORIO;31/12/2024;175778
495;JUSTO;31/12/2024;357423
496;SATISFACTORIO;31/12/2024;361123
497;SATISFACTORIO;31/12/2024;159734
498;BUENO;31/12/2024;152525
499;SATISFACTORIO;31/12/2024;178507
500;SATISFACTORIO;31/12/2024;175918
501;SATISFACTORIO;31/12/2024;350530
502;SATISFACTORIO;31/12/2024;91010230
503;JUSTO;31/12/2024;359274
504;SATISFACTORIO;31/12/2024;158624
505;SATISFACTORIO;31/12/2024;156171
506;SATISFACTORIO;31/12/2024;413232
507;SATISFACTORIO;31/12/2024;151041
508;BUENO;31/12/2024;153141
509;BUENO;31/12/2024;143632
510;SATISFACTORIO;31/12/2024;176358
511;BUENO;31/12/2024;169751
512;SATISFACTORIO;31/12/2024;363089
513;SATISFACTORIO;31/12/2024;360295
514;SATISFACTORIO;31/12/2024;150583
515;BUENO;31/12/2024;362340
516;BUENO;31/12/2024;213215
517;SATISFACTORIO;31/12/2024;146239
518;BUENO;31/12/2024;453468
519;SATISFACTORIO;31/12/2024;305744
520;GRAVE;31/12/2024;489534
521;SATISFACTORIO;31/12/2024;91016818
522;JUSTO;31/12/2024;303341
523;SATISFACTORIO;31/12/2024;174705
524;SATISFACTORIO;31/12/2024;178031
525;SATISFACTORIO;31/12/2024;142310
526;SATISFACTORIO;31/12/2024;299152
527;BUENO;31/12/2024;137469
528;BUENO;31/12/2024;204414
529;JUSTO;31/12/2024;360493
530;GRAVE;31/12/2024;156965
531;BUENO;31/12/2024;442673
532;BUENO;31/12/2024;189526
533;SATISFACTORIO;31/12/2024;201106
534;BUENO;31/12/2024;353416
535;SATISFACTORIO;31/12/2024;368551
536;GRAVE;31/12/2024;154898
537;BUENO;31/12/2024;323261
538;GRAVE;31/12/2024;156048
539;GRAVE;31/12/2024;463183
540;BUENO;31/12/2024;381943
541;SATISFACTORIO;31/12/2024;175757
542;SATISFACTORIO;31/12/2024;187583
543;SATISFACTORIO;31/12/2024;146825
544;SATISFACTORIO;31/12/2024;457221
545;SATISFACTORIO;31/12/2024;186713
546;BUENO;31/12/2024;299768
547;SATISFACTORIO;31/12/2024;387891
548;SATISFACTORIO;31/12/2024;412006
549;SATISFACTORIO;31/12/2024;182506
550;BUENO;31/12/2024;205389
551;BUENO;31/12/2024;91020641
552;BUENO;31/12/2024;207885
553;SATISFACTORIO;31/12/2024;350459
554;BUENO;31/12/2024;447384
555;SATISFACTORIO;31/12/2024;472654
556;BUENO;31/12/2024;380311
557;BUENO;31/12/2024;421857
558;SATISFACTORIO;31/12/2024;529761
559;GRAVE;31/12/2024;91023016
560;GRAVE;31/12/2024;356500
561;BUENO;31/12/2024;141082
562;SATISFACTORIO;31/12/2024;166454
563;SATISFACTORIO;31/12/2024;384132
564;BUENO;31/12/2024;296584
565;BUENO;31/12/2024;91022633
566;SATISFACTORIO;31/12/2024;141846
567;BUENO;31/12/2024;385221
568;BUENO;31/12/2024;360820
569;BUENO;31/12/2024;450780
570;SATISFACTORIO;31/12/2024;414154
571;SATISFACTORIO;31/12/2024;137733
572;SATISFACTORIO;31/12/2024;175360
573;BUENO;31/12/2024;365506
574;SATISFACTORIO;31/12/2024;163132
575;BUENO;31/12/2024;415880
576;SATISFACTORIO;31/12/2024;146192
577;BUENO;31/12/2024;352819
578;BUENO;31/12/2024;153437
579;SATISFACTORIO;31/12/2024;411248
580;SATISFACTORIO;31/12/2024;187455
581;SATISFACTORIO;31/12/2024;159002
582;SATISFACTORIO;31/12/2024;163145
583;SATISFACTORIO;31/12/2024;293295
584;SATISFACTORIO;31/12/2024;522928
585;BUENO;31/12/2024;149203
586;SATISFACTORIO;31/12/2024;188594
587;SATISFACTORIO;31/12/2024;516223
588;JUSTO;31/12/2024;91016898
589;SATISFACTORIO;31/12/2024;183948
590;SATISFACTORIO;31/12/2024;139204
591;GRAVE;31/12/2024;91016076
592;BUENO;31/12/2024;137468
593;SATISFACTORIO;31/12/2024;472086
594;SATISFACTORIO;31/12/2024;175257
595;SATISFACTORIO;31/12/2024;321640
596;SATISFACTORIO;31/12/2024;163590
597;GRAVE;31/12/2024;91022787
598;SATISFACTORIO;31/12/2024;148173
599;SATISFACTORIO;31/12/2024;148168
600;BUENO;31/12/2024;204207
601;GRAVE;31/12/2024;91016896
602;BUENO;31/12/2024;204585
603;SATISFACTORIO;31/12/2024;91016109
604;GRAVE;31/12/2024;155823
605;BUENO;31/12/2024;368289
606;SATISFACTORIO;31/12/2024;152277
607;SATISFACTORIO;31/12/2024;143401
608;SATISFACTORIO;31/12/2024;322643
609;GRAVE;31/12/2024;463219
610;SATISFACTORIO;31/12/2024;472378
611;BUENO;31/12/2024;421716
612;SATISFACTORIO;31/12/2024;186109
613;SATISFACTORIO;31/12/2024;171509
614;SATISFACTORIO;31/12/2024;201163
615;SATISFACTORIO;31/12/2024;147382
616;BUENO;31/12/2024;290244
617;SATISFACTORIO;31/12/2024;471735
618;SATISFACTORIO;31/12/2024;441380
619;SATISFACTORIO;31/12/2024;143078
620;SATISFACTORIO;31/12/2024;148792
621;SATISFACTORIO;31/12/2024;204906
622;BUENO;31/12/2024;213056
623;SATISFACTORIO;31/12/2024;187354
624;BUENO;31/12/2024;352705
625;SATISFACTORIO;31/12/2024;472704
626;SATISFACTORIO;31/12/2024;158265
627;GRAVE;31/12/2024;2502735
628;BUENO;31/12/2024;169270
629;GRAVE;31/12/2024;295960
630;BUENO;31/12/2024;209900
631;BUENO;31/12/2024;418713
632;SATISFACTORIO;31/12/2024;358332
633;SATISFACTORIO;31/12/2024;91012784
634;SATISFACTORIO;31/12/2024;161943
635;SATISFACTORIO;31/12/2024;419620
636;BUENO;31/12/2024;291829
637;BUENO;31/12/2024;369068
638;SATISFACTORIO;31/12/2024;385761
639;SATISFACTORIO;31/12/2024;140740
640;SATISFACTORIO;31/12/2024;187710
641;SATISFACTORIO;31/12/2024;91023290
642;GRAVE;31/12/2024;174888
643;BUENO;31/12/2024;818473
644;SATISFACTORIO;31/12/2024;155316
645;SATISFACTORIO;31/12/2024;152894
646;BUENO;31/12/2024;441785
647;SATISFACTORIO;31/12/2024;173665
648;BUENO;31/12/2024;91016909
649;BUENO;31/12/2024;153153
650;SATISFACTORIO;31/12/2024;305300
651;BUENO;31/12/2024;321613
652;SATISFACTORIO;31/12/2024;418650
653;SATISFACTORIO;31/12/2024;178840
654;SATISFACTORIO;31/12/2024;361270
655;BUENO;31/12/2024;524121
656;BUENO;31/12/2024;175313
657;SATISFACTORIO;31/12/2024;357852
658;SATISFACTORIO;31/12/2024;382481
659;GRAVE;31/12/2024;305159
660;BUENO;31/12/2024;471457
661;GRAVE;31/12/2024;455623
662;GRAVE;31/12/2024;91012766
663;BUENO;31/12/2024;172708
664;BUENO;31/12/2024;819978
665;BUENO;31/12/2024;91020808
666;SATISFACTORIO;31/12/2024;91011848
667;BUENO;31/12/2024;290664
668;BUENO;31/12/2024;172686
669;SATISFACTORIO;31/12/2024;158475
670;BUENO;31/12/2024;205062
671;BUENO;31/12/2024;141365
672;8;31/12/2024;171686
673;SATISFACTORIO;31/12/2024;459993
674;BUENO;31/12/2024;903286
675;SATISFACTORIO;31/12/2024;91020632
676;SATISFACTORIO;31/12/2024;181483
677;SATISFACTORIO;31/12/2024;471505
678;SATISFACTORIO;31/12/2024;441224
679;BUENO;31/12/2024;156354
680;BUENO;31/12/2024;150409
681;JUSTO;31/12/2024;445052
682;BUENO;31/12/2024;208937
683;GRAVE;31/12/2024;91012917
684;SATISFACTORIO;31/12/2024;139964
685;GRAVE;31/12/2024;176850
686;SATISFACTORIO;31/12/2024;142722
687;BUENO;31/12/2024;387212
688;SATISFACTORIO;31/12/2024;176037
689;SATISFACTORIO;31/12/2024;148131
690;SATISFACTORIO;31/12/2024;158914
691;BUENO;31/12/2024;293251
692;SATISFACTORIO;31/12/2024;182683
693;SATISFACTORIO;31/12/2024;167002
694;SATISFACTORIO;31/12/2024;448153
695;SATISFACTORIO;31/12/2024;510923
696;SATISFACTORIO;31/12/2024;301157
697;JUSTO;31/12/2024;419629
698;BUENO;31/12/2024;292914
699;BUENO;31/12/2024;386668
700;SATISFACTORIO;31/12/2024;380767
701;SATISFACTORIO;31/12/2024;91020938
702;SATISFACTORIO;31/12/2024;471584
703;SATISFACTORIO;31/12/2024;440689
704;SATISFACTORIO;31/12/2024;150220
